INFO  - 2014-10-27 00:25:16.414; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2014-10-27 00:25:16.445; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\solr\example\contexts at interval 0
INFO  - 2014-10-27 00:25:16.508; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\solr\example\contexts\solr-jetty-context.xml
INFO  - 2014-10-27 00:25:17.647; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-27 00:25:17.709; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/C:/solr/example/solr-webapp/webapp/},C:\solr\example/webapps/solr.war
INFO  - 2014-10-27 00:25:17.709; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/C:/solr/example/solr-webapp/webapp/},C:\solr\example/webapps/solr.war
INFO  - 2014-10-27 00:25:17.756; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-10-27 00:25:17.803; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-10-27 00:25:17.803; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-10-27 00:25:17.834; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: C:\solr\example\solr\solr.xml
INFO  - 2014-10-27 00:25:17.834; org.apache.solr.core.CoreContainer; New CoreContainer 898557489
INFO  - 2014-10-27 00:25:17.834; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2014-10-27 00:25:17.834; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-10-27 00:25:18.349; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-10-27 00:25:18.349; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-10-27 00:25:18.349; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-10-27 00:25:18.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-10-27 00:25:18.380; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-10-27 00:25:18.817; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2014-10-27 00:25:18.879; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: solr\collection1
INFO  - 2014-10-27 00:25:18.879; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr\collection1\'
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/dataimporthandler/lib/activation-1.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/dataimporthandler/lib/mail-1.4.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-4.3.0.war' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-analysis-extras-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-cell-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-clustering-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-core-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-dataimporthandler-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-dataimporthandler-extras-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-langid-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-solrj-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-test-framework-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-uima-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-velocity-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solrj-lib/' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/sqljdbc4.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/test-framework/' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-10-27 00:25:19.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-cell-4.3.0.jar' to classloader
